Player,Team,PAT,FG,1-19,20-29,30-39,40-49,50+,Lg,Pts,,,,,,,,,,
Seth Small,TAMU,37/37,22/27,0/0,5/5,9/9,8/11,0/2,49,103,,,,,,,,,,
Griffin Kell,TCU,42/42,14/18,1/1,6/6,3/7,4/4,0/0,48,84,,,,,,,,,,
Chase McGrath,TENN,60/60,11/14,0/0,4/4,4/5,3/5,0/0,48,93,,,,,,,,,,
Cameron Dicker,TEX,49/50,13/15,0/0,6/6,4/4,2/3,1/2,50,88,,,,,,,,,,
Zack Long,TLSA,32/33,19/20,0/0,6/6,5/5,7/7,1/2,50,89,,,,,,,,,,
Thomas Cluckey,TOL,47/47,14/24,0/0,5/5,5/8,3/8,1/3,50,89,,,,,,,,,,
Jonathan Garibay,TTU,45/46,13/14,0/0,5/5,4/4,3/3,1/2,62,84,,,,,,,,,,
Seth Keller,TXST,32/32,15/18,0/0,1/2,6/6,8/9,0/1,48,77,,,,,,,,,,
Joe McFadden,UCONN,19/19,12/17,0/0,5/7,4/4,3/5,0/1,47,55,,,,,,,,,,
Cameron Carson,UMASS,22/24,8/11,0/0,2/3,3/5,3/3,0/0,45,46,,,,,,,,,,
Matthew Quinn,UAB,45/46,10/15,0/0,4/5,4/6,1/1,1/3,52,75,,,,,,,,,,
Daniel Obarski,UCF,51/52,5/10,0/0,2/2,2/3,1/5,0/0,40,66,,,,,,,,,,
Nicholas Barr-Mira,UCLA,52/54,14/21,0/0,5/5,3/4,6/10,0/2,48,94,,,,,,,,,,
Jack Podlesny,UGA,64/65,18/22,0/0,8/8,7/9,3/5,0/0,46,118,,,,,,,,,,
Matt Ruffolo,UK,52/54,5/11,0/0,3/3,1/3,4/4,0/1,45,76,,,,,,,,,,
Calum Sutherland,ULM,27/28,16/21,0/0,4/5,4/4,6/8,2/4,53,75,,,,,,,,,,
Joseph Petrino,UMD,34/38,11/18,0/0,3/3,4/6,4/8,0/1,48,67,,,,,,,,,,
Grayson Atkins,UNC,51/51,17/21,0/0,9/9,5/6,1/1,2/5,51,102,,,,,,,,,,
Daniel Gutierrez,UNLV,25/25,16/18,0/0,7/7,5/5,2/3,2/3,53,73,,,,,,,,,,
Ethan Mooney,UNT,38/38,11/13,1/1,4/4,5/5,1/2,0/1,48,71,,,,,,,,,,
Diego Guajardo,USA,33/35,12/17,0/0,2/3,6/8,4/6,0/0,48,69,,,,,,,,,,
Parker Lewis,USC,23/24,17/22,0/0,5/5,7/8,4/6,1/3,52,74,,,,,,,,,,
Spencer Shrader,USF,35/35,11/13,0/0,4/4,2/2,4/5,1/2,52,68,,,,,,,,,,
Connor Coles,USU,49/51,19/28,0/0,7/8,6/7,5/10,1/3,52,106,,,,,,,,,,
Jadon Redding,UTAH,35/37,9/13,0/0,4/4,2/5,2/3,1/1,50,62,,,,,,,,,,
Gavin Baechle,UTEP,34/35,17/22,0/0,7/7,6/8,3/5,1/2,50,85,,,,,,,,,,
Hunter Duplessis,UTSA,60/60,23/29,0/0,7/7,7/9,7/10,2/3,51,129,,,,,,,,,,
Brendan Farrell,UVA,34/34,11/13,0/0,4/4,6/6,1/2,0/1,43,67,,,,,,,,,,
Joseph Bulovas,VAN,15/15,14/19,0/0,3/3,5/7,5/8,1/1,53,57,,,,,,,,,,
John Parker Romo,VT,33/33,17/21,1/1,4/5,5/6,5/6,2/3,52,84,,,,,,,,,,
Nick Sciba,WAKE,62/62,20/22,0/0,10/11,3/3,7/7,0/1,46,122,,,,,,,,,,
Peyton Henry,WASH,26/26,11/14,0/0,4/4,7/7,0/2,0/1,38,59,,,,,,,,,,
Collin Larsh,WIS,37/38,15/20,0/0,7/8,6/8,2/3,0/1,43,82,,,,,,,,,,
Brayden Narveson,WKU,64/65,22/27,0/0,6/6,11/11,4/6,1/4,53,130,,,,,,,,,,
