,Player,Team,Lg,Pts,PATM,PATA,FGM,FGA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,PATAV,1-19AV,20-29AV,30-39AV,40-49AV,50+AV,Total Added Value
113,Collin Larsh,WIS,43.0,82.0,37.0,38.0,15,20,0,0,7,8,6,8,2,3,0,1,-0.16400000000000148,0.0,-1.3200000000000003,-1.3520000000000003,-0.057000000000000384,-1.361,-4.254000000000002
44,Graham Nicholson,MIA (O),49.0,73.0,34.0,38.0,13,17,0,0,6,7,2,3,5,6,0,1,-3.1640000000000015,0.0,-1.5300000000000011,-1.2569999999999997,2.8859999999999992,-1.361,-4.426000000000003
47,Matthew Trickett,MINN,50.0,83.0,35.0,37.0,16,23,0,0,4,5,8,9,3,5,1,4,-1.186,0.0,-1.9499999999999993,2.228999999999999,-1.0950000000000006,-2.444,-4.446000000000001
1,Cory Smigel,AKR,40.0,50.0,29.0,30.0,7,11,1,1,1,1,4,5,1,3,0,1,-0.33999999999999986,0.18800000000000017,0.20999999999999996,-0.09500000000000064,-3.0570000000000004,-1.361,-4.455000000000001
91,Matthew Quinn,UAB,52.0,75.0,45.0,46.0,10,15,0,0,4,5,4,6,1,1,1,3,0.012000000000000455,0.0,-1.9499999999999993,-2.5139999999999993,0.9809999999999999,-1.0830000000000002,-4.5539999999999985
68,Jordan Stout,PSU,52.0,82.0,34.0,36.0,16,23,0,0,5,7,4,4,5,9,2,3,-1.2079999999999984,0.0,-4.530000000000001,2.324,-3.1709999999999994,1.9169999999999998,-4.667999999999999
30,Alex Raynor,GSU,44.0,48.0,21.0,22.0,9,14,0,0,3,3,4,5,2,4,0,2,-0.5159999999999982,0.0,0.629999999999999,-0.09500000000000064,-2.0760000000000005,-2.722,-4.779
17,Jonathan Cruz,CHAR,56.0,70.0,40.0,41.0,10,15,0,0,3,4,4,5,2,5,1,1,-0.09799999999999898,0.0,-2.16,-0.09500000000000064,-4.095000000000001,1.639,-4.809
40,James Turner,LOU,46.0,88.0,46.0,48.0,14,21,0,0,4,5,4,4,6,9,0,3,-0.9440000000000026,0.0,-1.9499999999999993,2.324,-0.17099999999999937,-4.083,-4.824000000000002
105,Jadon Redding,UTAH,50.0,62.0,35.0,37.0,9,13,0,0,4,4,2,5,2,3,1,1,-1.186,0.0,0.8399999999999999,-6.095000000000001,-0.057000000000000384,1.639,-4.859000000000001
8,Anders Carlson,AUB,49.0,77.0,35.0,36.0,14,21,0,0,6,6,2,4,6,8,0,3,-0.2079999999999984,0.0,1.259999999999998,-3.676,1.847999999999999,-4.083,-4.859000000000002
101,Diego Guajardo,USA,48.0,69.0,33.0,35.0,12,17,0,0,2,3,6,8,4,6,0,0,-1.2299999999999969,0.0,-2.370000000000001,-1.3520000000000003,-0.11400000000000077,0.0,-5.065999999999999
